compatibility_id,source_material_id,target_type,target_id,result,reason,active_yn
COMP-001,LJ94-100001,MATERIAL,LJ94-100002,COMPATIBLE,40IN FHD OLB/CP matched,Y
COMP-002,LJ94-110001,MATERIAL,LJ94-110002,COMPATIBLE,40IN 120Hz OLB/CP matched,Y
COMP-003,LJ94-120005,MATERIAL,LJ94-120006,COMPATIBLE,50IN UHD CF/TFT matched,Y
COMP-004,LJ94-130005,MATERIAL,LJ94-130006,COMPATIBLE,55IN UHD 120Hz CF/TFT matched,Y
COMP-005,LJ94-190001,MODEL,LTA400HR02-0,COMPATIBLE,Alternative OLB supports 40IN FHD 120Hz,Y
COMP-006,LJ94-190001,MODEL,LTA400HR01-0,CONDITIONAL,120Hz-capable OLB usable on 60Hz model after timing review,Y
COMP-007,LJ94-190004,MODEL,LTA400HR01-0,CONDITIONAL,High-transmittance LC requires optical tuning,Y
COMP-008,LJ94-190005,MATERIAL,LJ94-100006,INCOMPATIBLE,Wide-color CF is not matched to baseline TFT,Y
COMP-009,LJ94-190006,MODEL,LTA400HR01-0,INCOMPATIBLE,Legacy TFT cannot satisfy active model requirement,Y
COMP-010,9000-299902,MATERIAL,LJ94-190001,INCOMPATIBLE,Unapproved driver IC cannot be used in alternative OLB,Y
